clave,nombre,programa_clave,trimestre,tipo,creditos,area_nombre,area_descripcion,url
1431045,ERGONOMÍA DEL PRODUCTO,DI,4,OBL,,Licenciatura,Licenciatura,
1430048,TEORÍA SOCIAL DEL DISEÑO INDUSTRIAL,DI,5,OBL,,Licenciatura,Licenciatura,
1430049,MÉTODOS Y TÉCNICAS PARA EL DISEÑO II,DI,5,OBL,,Licenciatura,Licenciatura,
1430051,DISEÑO DE PRODUCTOS III,DI,5,OBL,,Licenciatura,Licenciatura,
1403038,MATERIALES METÁLICOS,DI,5,OBL,,Licenciatura,Licenciatura,
1403040,DIBUJO TÉCNICO INDUSTRIAL,DI,5,OBL,,Licenciatura,Licenciatura,
1430047,FÍSICA APLICADA AL DISEÑO,DI,5,OBL,,Licenciatura,Licenciatura,
1431013,DISEÑO SUSTENTABLE,DI,6,OBL,,Licenciatura,Licenciatura,
1431014,HISTORIA DEL DISEÑO INDUSTRIAL I,DI,6,OBL,,Licenciatura,Licenciatura,
1403016,ESTRUCTURACIÓN DE PROYECTO I,DI,6,OBL,,Licenciatura,Licenciatura,
1431016,DISEÑO DE PRODUCTOS IV,DI,6,OBL,,Licenciatura,Licenciatura,
1403039,MATERIALES PLÁSTICOS,DI,6,OBL,,Licenciatura,Licenciatura,
1403033,PLANIMETRIA DIGITAL Y MODELADO 3D,DI,6,OBL,,Licenciatura,Licenciatura,
1403034,ANÁLISIS Y DISEÑO DE ESTRUCTURAS,DI,6,OBL,,Licenciatura,Licenciatura,
1431020,TENDENCIAS CONTEMPORÁNEAS DE DIS. IND.,DI,7,OBL,,Licenciatura,Licenciatura,
1403017,ESTRUCTURACION DEL PROYECTO II,DI,7,OBL,,Licenciatura,Licenciatura,
1431023,DESARROLLO DE PRODUCTOS I,DI,7,OBL,,Licenciatura,Licenciatura,
1403041,TIERRAS Y MATERIALES PETREOS,DI,7,OBL,,Licenciatura,Licenciatura,
1403028,PRESENTACÍON DE PROYECTOS I,DI,7,OBL,,Licenciatura,Licenciatura,
1431019,BIÓNICA,DI,7,OBL,,Licenciatura,Licenciatura,
1431027,PROSPECTIVA DEL DISEÑO INDUSTRIAL,DI,8,OBL,,Licenciatura,Licenciatura,
1431021,HISTORIA DEL DISEÑO INDUSTRIAL II,DI,8,OBL,,Licenciatura,Licenciatura,
1403018,ESTRUCTURACIÓN DE PROYECTOS III,DI,8,OBL,,Licenciatura,Licenciatura,
1431030,DESARROLLO DE PRODUCTOS II,DI,8,OBL,,Licenciatura,Licenciatura,
1403004,COSTOS EN EL DISEÑO INDUSTRIAL,DI,8,OBL,,Licenciatura,Licenciatura,
1431028,SEMIÓTICA,DI,9,OBL,,Licenciatura,Licenciatura,
1431037,DESARROLLO DE PRODUCTOS III,DI,9,OBL,,Licenciatura,Licenciatura,
1431029,DISEÑO PARA LA PRODUCCIÓN,DI,9,OBL,,Licenciatura,Licenciatura,
1431043,MERCADOTECNÍA,DI,9,OBL,,Licenciatura,Licenciatura,
1403009,DESARROLLO INTEGRAL DE PRODUCTOS I,DI,10,OBL,,Licenciatura,Licenciatura,
1433015,TEMAS DE OPCIÓN TERMINAL I (NVAS TECNOLOGIAS),DI,10,OBL,,Licenciatura,Licenciatura,
1433014,ADMINISTRACION Y PLANEACIÓN DE PROYECTO,DI,10,OBL,,Licenciatura,Licenciatura,
1403042,DESARROLLO INTEGRAL DE PRODUCTOS II,DI,11,OBL,,Licenciatura,Licenciatura,
1435019,EJERCICIO PROFESIONAL DEL DISEÑO INDUSTRIAL,DI,11,OBL,,Licenciatura,Licenciatura,
1403044,TEMAS DE OPCIÓN TERMINAL II (NVAS TECNOLOGIAS),DI,11,OBL,,Licenciatura,Licenciatura,
1403043,DESARROLLO INTEGRAL DE PRODUCTOS III,DI,12,OBL,,Licenciatura,Licenciatura,
1403045,TEMAS DE OPCIÓN TERMINAL III (GESTIÓN),DI,12,OBL,,Licenciatura,Licenciatura,
1403047,PROMOCIÓN PROFESIONAL DEL DISEÑO INDUSTRIAL,DI,12,OBL,,Licenciatura,Licenciatura,
1431042,Evaluación de Productos,DI,VII-X,OPT,,Optativas de interés profesional,Área de concentración: DI,
1432013,Estadística para Diseñadores,DI,VII-X,OPT,,Optativas de interés profesional,Área de concentración: DI,
1403015,Ecodiseño,DI,VII-X,OPT,,Optativas de interés profesional,Área de concentración: DI,
1431044,Aspectos Legales y normatividad,DI,VII-X,OPT,,Optativas de interés profesional,Área de concentración: DI,
